,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
1133,Soquel High,Santa Cruz City High,Santa Cruz,269.0,103.0,86.0,83.5,59.0,57.28,58.0,56.31,81.0,25.0,23.0,22.0,22.0,50.0,61.73,38.28996282527881,30.111524163568777
1134,Watsonville High,Pajaro Valley Unified,Santa Cruz,455.0,134.0,66.0,49.25,37.0,27.61,32.0,23.88,110.0,17.0,16.0,18.0,18.0,20.0,18.18,29.450549450549453,24.175824175824175
1135,West Valley High,Anderson Union High,Shasta,214.0,52.0,40.0,76.92,20.0,38.46,18.0,34.62,23.0,24.0,21.0,21.0,23.0,16.0,69.57,24.299065420560748,10.74766355140187
1136,Foothill High,Shasta Union High,Shasta,317.0,61.0,53.0,86.89,39.0,63.93,38.0,62.3,29.0,26.0,23.0,23.0,23.0,22.0,75.86,19.242902208201894,9.14826498422713
1140,Shasta High,Shasta Union High,Shasta,328.0,69.0,64.0,92.75,56.0,81.16,56.0,81.16,46.0,27.0,26.0,25.0,25.0,42.0,91.3,21.036585365853657,14.02439024390244
1141,Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,9.0,56.25,7.0,43.75,6.0,37.5,27.0,20.0,20.0,21.0,21.0,11.0,40.74,37.2093023255814,62.7906976744186
1143,Yreka High,Yreka Union High,Siskiyou,138.0,41.0,31.0,75.61,24.0,58.54,22.0,53.66,38.0,23.0,20.0,21.0,21.0,20.0,52.63,29.71014492753623,27.536231884057973
1144,Will C. Wood High,Vacaville Unified,Solano,329.0,122.0,89.0,72.95,66.0,54.1,58.0,47.54,30.0,24.0,23.0,24.0,23.0,23.0,76.67,37.08206686930091,9.118541033434651
1146,Jesse M. Bethel High,Vallejo City Unified,Solano,380.0,131.0,79.0,60.31,36.0,27.48,35.0,26.72,44.0,20.0,18.0,18.0,19.0,13.0,29.55,34.473684210526315,11.578947368421053
1147,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,173.0,137.0,79.19,94.0,54.34,87.0,50.29,52.0,25.0,24.0,23.0,24.0,37.0,71.15,40.8983451536643,12.293144208037825
1148,MIT Academy,Vallejo City Unified,Solano,121.0,74.0,48.0,64.86,19.0,25.68,18.0,24.32,15.0,20.0,20.0,18.0,20.0,5.0,33.33,61.15702479338842,12.396694214876034
1149,Armijo High,Fairfield-Suisun Unified,Solano,500.0,127.0,104.0,81.89,79.0,62.2,75.0,59.06,26.0,23.0,24.0,23.0,23.0,18.0,69.23,25.4,5.2
1150,Benicia High,Benicia Unified,Solano,363.0,132.0,118.0,89.39,99.0,75.0,94.0,71.21,67.0,27.0,26.0,25.0,25.0,56.0,83.58,36.36363636363637,18.457300275482094
1151,Dixon High,Dixon Unified,Solano,246.0,94.0,73.0,77.66,62.0,65.96,59.0,62.77,67.0,21.0,20.0,21.0,20.0,34.0,50.75,38.21138211382114,27.235772357723576
1153,Rio Vista High,River Delta Joint Unified,Sacramento,106.0,42.0,29.0,69.05,17.0,40.48,16.0,38.1,22.0,19.0,19.0,18.0,19.0,7.0,31.82,39.62264150943396,20.754716981132077
1154,Vacaville High,Vacaville Unified,Solano,431.0,189.0,150.0,79.37,111.0,58.73,107.0,56.61,58.0,22.0,22.0,22.0,22.0,34.0,58.62,43.851508120649655,13.45707656612529
1156,Vanden High,Travis Unified,Solano,367.0,162.0,132.0,81.48,90.0,55.56,87.0,53.7,40.0,25.0,23.0,23.0,24.0,28.0,70.0,44.141689373297005,10.899182561307901
1157,Casa Grande High,Petaluma Joint Union High,Sonoma,425.0,147.0,123.0,83.67,92.0,62.59,91.0,61.9,55.0,24.0,24.0,24.0,23.0,40.0,72.73,34.588235294117645,12.941176470588237
1159,Windsor High,Windsor Unified,Sonoma,394.0,140.0,121.0,86.43,79.0,56.43,75.0,53.57,116.0,23.0,22.0,21.0,22.0,70.0,60.34,35.53299492385787,29.441624365482234
1160,Maria Carrillo High,Santa Rosa High,Sonoma,352.0,99.0,91.0,91.92,86.0,86.87,84.0,84.85,81.0,29.0,28.0,27.0,27.0,76.0,93.83,28.125,23.011363636363637
1161,Technology High,Cotati-Rohnert Park Unified,Sonoma,76.0,27.0,26.0,96.3,20.0,74.07,19.0,70.37,24.0,27.0,27.0,26.0,25.0,20.0,83.33,35.526315789473685,31.57894736842105
