,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
0,Oakland Unity High,Oakland Unified,Alameda,81.0,35.0,18.0,51.43,15.0,42.86,14.0,40.0,53.0,17.0,15.0,19.0,18.0,12.0,22.64,43.20987654320987,65.4320987654321
1,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,67.47,50.0,30.12,46.0,27.71,52.0,20.0,18.0,19.0,19.0,21.0,40.38,24.850299401197603,7.784431137724551
2,Golden Valley High,Kern High,Kern,580.0,173.0,84.0,48.55,49.0,28.32,43.0,24.86,22.0,21.0,18.0,19.0,20.0,8.0,36.36,29.82758620689655,3.793103448275862
3,Desert Mirage High,Coachella Valley Unified,Riverside,459.0,125.0,57.0,45.6,23.0,18.4,21.0,16.8,97.0,17.0,16.0,17.0,17.0,12.0,12.37,27.233115468409586,21.13289760348584
4,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,64.0,55.0,85.94,42.0,65.63,41.0,64.06,112.0,20.0,20.0,21.0,19.0,49.0,43.75,57.14285714285714,100.0
5,Vista Murrieta High,Murrieta Valley Unified,Riverside,884.0,382.0,308.0,80.63,210.0,54.97,197.0,51.57,165.0,24.0,22.0,23.0,22.0,111.0,67.27,43.21266968325792,18.665158371040725
6,Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,128.0,75.0,58.59,56.0,43.75,52.0,40.63,30.0,22.0,21.0,22.0,21.0,20.0,66.67,40.50632911392405,9.49367088607595
7,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,143.0,144.0,84.0,58.33,56.0,38.89,54.0,37.5,105.0,18.0,17.0,19.0,18.0,27.0,25.71,100.69930069930071,73.42657342657343
8,High Tech LA,Los Angeles Unified,Los Angeles,90.0,63.0,56.0,88.89,45.0,71.43,42.0,66.67,15.0,20.0,21.0,21.0,20.0,6.0,40.0,70.0,16.666666666666664
12,Central City Value,Los Angeles Unified,Los Angeles,105.0,83.0,28.0,33.73,11.0,13.25,10.0,12.05,15.0,21.0,21.0,19.0,20.0,8.0,53.33,79.04761904761905,14.285714285714285
13,Pioneer High,Woodland Joint Unified,Yolo,350.0,125.0,91.0,72.8,57.0,45.6,52.0,41.6,80.0,20.0,19.0,20.0,21.0,31.0,38.75,35.714285714285715,22.857142857142858
15,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120.0,73.0,27.0,36.99,7.0,9.59,6.0,8.22,21.0,18.0,17.0,16.0,16.0,3.0,14.29,60.83333333333333,17.5
16,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149.0,100.0,46.0,46.0,29.0,29.0,23.0,23.0,148.0,17.0,15.0,17.0,16.0,18.0,12.16,67.11409395973155,99.32885906040269
22,Roseland Charter,Roseland,Sonoma,147.0,49.0,26.0,53.06,17.0,34.69,16.0,32.65,89.0,17.0,16.0,18.0,18.0,20.0,22.47,33.33333333333333,60.544217687074834
23,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94.0,74.0,63.0,85.14,44.0,59.46,44.0,59.46,98.0,21.0,20.0,20.0,20.0,51.0,52.04,78.72340425531915,104.25531914893618
24,Rosemont High,Sacramento City Unified,Sacramento,300.0,67.0,50.0,74.63,38.0,56.72,37.0,55.22,32.0,21.0,19.0,20.0,20.0,15.0,46.88,22.333333333333332,10.666666666666668
25,Sacramento Charter High,Sacramento City Unified,Sacramento,151.0,85.0,32.0,37.65,16.0,18.82,13.0,15.29,144.0,17.0,16.0,17.0,17.0,25.0,17.36,56.29139072847682,95.36423841059603
26,Inderkum High,Natomas Unified,Sacramento,471.0,221.0,159.0,71.95,86.0,38.91,81.0,36.65,463.0,18.0,16.0,18.0,17.0,110.0,23.76,46.92144373673036,98.30148619957538
27,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,587.0,143.0,95.0,66.43,59.0,41.26,56.0,39.16,92.0,20.0,19.0,21.0,19.0,39.0,42.39,24.361158432708688,15.67291311754685
28,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,163.0,141.0,86.5,121.0,74.23,114.0,69.94,83.0,25.0,24.0,25.0,24.0,69.0,83.13,55.821917808219176,28.424657534246577
31,Golden Valley High,William S. Hart Union High,Los Angeles,479.0,175.0,137.0,78.29,93.0,53.14,88.0,50.29,53.0,25.0,23.0,21.0,23.0,37.0,69.81,36.53444676409186,11.064718162839249
32,West Ranch High,William S. Hart Union High,Los Angeles,655.0,293.0,277.0,94.54,240.0,81.91,238.0,81.23,182.0,27.0,27.0,26.0,26.0,156.0,85.71,44.732824427480914,27.78625954198473
33,New Designs Charter,Los Angeles Unified,Los Angeles,86.0,67.0,35.0,52.24,15.0,22.39,12.0,17.91,68.0,17.0,16.0,18.0,17.0,7.0,10.29,77.90697674418605,79.06976744186046
34,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,173.0,96.0,55.49,52.0,30.06,44.0,25.43,34.0,18.0,18.0,18.0,18.0,10.0,29.41,29.674099485420243,5.831903945111493
35,Arnold O. Beckman High,Tustin Unified,Orange,760.0,258.0,239.0,92.64,212.0,82.17,207.0,80.23,225.0,28.0,29.0,28.0,27.0,206.0,91.56,33.94736842105263,29.605263157894733
36,Middle College High,Los Angeles Unified,Los Angeles,88.0,66.0,44.0,66.67,19.0,28.79,17.0,25.76,26.0,19.0,19.0,19.0,18.0,8.0,30.77,75.0,29.545454545454547
37,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118.0,97.0,86.0,88.66,63.0,64.95,62.0,63.92,24.0,25.0,25.0,23.0,22.0,19.0,79.17,82.20338983050848,20.33898305084746
38,Mission Hills High,San Marcos Unified,San Diego,584.0,223.0,176.0,78.92,110.0,49.33,107.0,47.98,178.0,23.0,21.0,21.0,22.0,93.0,52.25,38.18493150684932,30.47945205479452
39,Great Oak High,Temecula Valley Unified,Riverside,756.0,349.0,313.0,89.68,245.0,70.2,235.0,67.34,214.0,24.0,24.0,23.0,23.0,157.0,73.36,46.164021164021165,28.306878306878307
40,Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,294.0,73.0,34.0,46.58,13.0,17.81,11.0,15.07,71.0,18.0,16.0,17.0,18.0,12.0,16.9,24.829931972789115,24.149659863945576
41,Monterey Trail High,Elk Grove Unified,Sacramento,583.0,245.0,175.0,71.43,111.0,45.31,99.0,40.41,117.0,21.0,20.0,21.0,21.0,56.0,47.86,42.02401372212693,20.06861063464837
42,University Preparatory,Shasta Union High,Shasta,127.0,72.0,68.0,94.44,63.0,87.5,61.0,84.72,24.0,28.0,27.0,27.0,27.0,21.0,87.5,56.69291338582677,18.89763779527559
43,Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,156.0,154.0,98.72,144.0,92.31,143.0,91.67,409.0,30.0,31.0,30.0,29.0,392.0,95.84,24.566929133858267,64.40944881889764
46,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86.0,70.0,23.0,32.86,4.0,5.71,3.0,4.29,34.0,17.0,16.0,15.0,15.0,4.0,11.76,81.3953488372093,39.53488372093023
47,Nova Academy Early College High,Santa Ana Unified,Orange,98.0,45.0,24.0,53.33,8.0,17.78,6.0,13.33,42.0,19.0,17.0,18.0,19.0,11.0,26.19,45.91836734693878,42.857142857142854
49,High Tech High International,San Diego Unified,San Diego,98.0,77.0,58.0,75.32,38.0,49.35,37.0,48.05,22.0,22.0,21.0,20.0,19.0,10.0,45.45,78.57142857142857,22.448979591836736
50,California Connections Academy Southern California,Capistrano Unified,Orange,618.0,76.0,57.0,75.0,42.0,55.26,42.0,55.26,30.0,25.0,25.0,23.0,24.0,23.0,76.67,12.297734627831716,4.854368932038835
52,Animo Venice Charter High,Los Angeles Unified,Los Angeles,132.0,24.0,16.0,66.67,10.0,41.67,10.0,41.67,86.0,17.0,16.0,17.0,17.0,18.0,20.93,18.181818181818183,65.15151515151516
53,Animo Pat Brown,Los Angeles Unified,Los Angeles,131.0,103.0,44.0,42.72,23.0,22.33,19.0,18.45,120.0,15.0,15.0,17.0,16.0,15.0,12.5,78.62595419847328,91.6030534351145
56,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,168.0,134.0,87.0,64.93,44.0,32.84,39.0,29.1,69.0,18.0,17.0,18.0,19.0,18.0,26.09,79.76190476190477,41.07142857142857
58,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84.0,61.0,40.0,65.57,23.0,37.7,21.0,34.43,36.0,19.0,18.0,18.0,18.0,10.0,27.78,72.61904761904762,42.857142857142854
59,San Diego International Studies,San Diego Unified,San Diego,286.0,116.0,79.0,68.1,44.0,37.93,43.0,37.07,99.0,25.0,24.0,23.0,24.0,70.0,70.71,40.55944055944056,34.61538461538461
62,Kearny SCT,San Diego Unified,San Diego,77.0,33.0,23.0,69.7,16.0,48.48,15.0,45.45,15.0,21.0,19.0,21.0,22.0,7.0,46.67,42.857142857142854,19.480519480519483
66,Crawford High,San Diego Unified,San Diego,218.0,168.0,41.0,24.4,23.0,13.69,20.0,11.9,37.0,19.0,18.0,18.0,19.0,11.0,29.73,77.06422018348624,16.972477064220186
67,San Diego Science and Technology,San Diego Unified,San Diego,157.0,58.0,35.0,60.34,19.0,32.76,18.0,31.03,19.0,21.0,20.0,19.0,20.0,6.0,31.58,36.94267515923567,12.101910828025478
69,River Valley High,Yuba City Unified,Sutter,435.0,125.0,101.0,80.8,75.0,60.0,75.0,60.0,59.0,23.0,22.0,22.0,23.0,35.0,59.32,28.735632183908045,13.563218390804598
70,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,62.0,77.5,53.0,66.25,48.0,60.0,38.0,22.0,21.0,22.0,21.0,25.0,65.79,39.603960396039604,18.81188118811881
71,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,212.0,86.89,158.0,64.75,156.0,63.93,112.0,26.0,25.0,24.0,25.0,87.0,77.68,42.508710801393725,19.51219512195122
72,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,68.0,60.71,41.0,36.61,36.0,32.14,92.0,19.0,18.0,19.0,19.0,30.0,32.61,28.940568475452196,23.772609819121445
74,Whitney High,Rocklin Unified,Placer,458.0,176.0,159.0,90.34,135.0,76.7,133.0,75.57,112.0,26.0,25.0,25.0,25.0,98.0,87.5,38.427947598253276,24.45414847161572
75,Orange Cove High,Kings Canyon Joint Unified,Fresno,122.0,46.0,18.0,39.13,7.0,15.22,7.0,15.22,33.0,16.0,15.0,16.0,16.0,2.0,6.06,37.704918032786885,27.049180327868854
76,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96.0,50.0,50.0,26.04,39.0,20.31,22.0,19.0,19.0,18.0,18.0,7.0,31.82,36.85220729366603,4.222648752399232
77,Summit High,Fontana Unified,San Bernardino,556.0,241.0,148.0,61.41,88.0,36.51,79.0,32.78,512.0,17.0,15.0,17.0,17.0,79.0,15.43,43.3453237410072,92.08633093525181
78,Ronald E. McNair High,Lodi Unified,San Joaquin,438.0,161.0,96.0,59.63,65.0,40.37,55.0,34.16,62.0,19.0,18.0,20.0,19.0,26.0,41.94,36.757990867579906,14.15525114155251
79,Segerstrom High,Santa Ana Unified,Orange,457.0,425.0,207.0,48.71,145.0,34.12,126.0,29.65,480.0,17.0,16.0,18.0,17.0,106.0,22.08,92.99781181619255,105.03282275711159
80,Eastside High,Antelope Valley Union High,Los Angeles,562.0,185.0,104.0,56.22,18.0,9.73,18.0,9.73,45.0,19.0,18.0,16.0,18.0,9.0,20.0,32.91814946619217,8.007117437722421
81,Design Science Middle College High,Fresno Unified,Fresno,63.0,60.0,52.0,86.67,35.0,58.33,32.0,53.33,58.0,21.0,20.0,21.0,20.0,23.0,39.66,95.23809523809523,92.06349206349206
82,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,106.0,70.0,66.04,56.0,52.83,51.0,48.11,134.0,19.0,18.0,19.0,19.0,39.0,29.1,75.71428571428571,95.71428571428572
84,Pleasant Grove High,Elk Grove Unified,Sacramento,556.0,228.0,209.0,91.67,191.0,83.77,187.0,82.02,162.0,26.0,25.0,27.0,25.0,137.0,84.57,41.007194244604314,29.136690647482016
85,High Tech High Media Arts,San Diego Unified,San Diego,90.0,47.0,28.0,59.57,14.0,29.79,13.0,27.66,38.0,21.0,21.0,19.0,20.0,19.0,50.0,52.22222222222223,42.22222222222222
87,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,84.0,58.0,69.05,31.0,36.9,29.0,34.52,52.0,22.0,22.0,18.0,20.0,24.0,46.15,46.15384615384615,28.57142857142857
88,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,138.0,58.0,42.03,36.0,26.09,31.0,22.46,162.0,16.0,16.0,17.0,17.0,24.0,14.81,100.0,117.3913043478261
90,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,138.0,71.0,51.45,29.0,21.01,29.0,21.01,70.0,18.0,20.0,19.0,18.0,19.0,27.14,97.87234042553192,49.645390070921984
94,Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,334.0,94.0,28.14,31.0,9.28,28.0,8.38,24.0,18.0,16.0,17.0,17.0,3.0,12.5,86.97916666666666,6.25
95,South East High,Los Angeles Unified,Los Angeles,368.0,220.0,128.0,58.18,45.0,20.45,43.0,19.55,152.0,19.0,18.0,17.0,18.0,43.0,28.29,59.78260869565217,41.30434782608695
96,Maywood Academy High,Los Angeles Unified,Los Angeles,249.0,109.0,41.0,37.61,10.0,9.17,9.0,8.26,26.0,18.0,16.0,17.0,18.0,5.0,19.23,43.77510040160642,10.441767068273093
97,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357.0,105.0,57.0,54.29,20.0,19.05,18.0,17.14,68.0,18.0,17.0,17.0,17.0,10.0,14.71,29.411764705882355,19.047619047619047
98,Santa Rosa Academy,Menifee Union Elementary,Riverside,113.0,52.0,47.0,90.38,28.0,53.85,28.0,53.85,18.0,24.0,24.0,23.0,23.0,13.0,72.22,46.017699115044245,15.929203539823009
99,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,42.0,15.0,35.71,6.0,14.29,5.0,11.9,33.0,15.0,15.0,17.0,16.0,3.0,9.09,64.61538461538461,50.76923076923077
101,University Preparatory,Victor Valley Union High,San Bernardino,164.0,109.0,96.0,88.07,66.0,60.55,65.0,59.63,43.0,22.0,22.0,22.0,21.0,24.0,55.81,66.46341463414635,26.21951219512195
102,McClymonds High,Oakland Unified,Alameda,77.0,45.0,13.0,28.89,5.0,11.11,5.0,11.11,45.0,14.0,13.0,15.0,14.0,5.0,11.11,58.44155844155844,58.44155844155844
105,James C. Enochs High,Modesto City High,Stanislaus,577.0,199.0,161.0,80.9,108.0,54.27,103.0,51.76,88.0,23.0,22.0,22.0,22.0,54.0,61.36,34.48873483535528,15.251299826689774
106,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083.0,543.0,426.0,78.45,318.0,58.56,293.0,53.96,190.0,23.0,21.0,22.0,22.0,111.0,58.42,50.13850415512465,17.543859649122805
107,John F. Kennedy High,Corona-Norco Unified,Riverside,232.0,89.0,76.0,85.39,50.0,56.18,50.0,56.18,59.0,22.0,22.0,20.0,21.0,33.0,55.93,38.362068965517246,25.43103448275862
109,Madera South High,Madera Unified,Madera,621.0,130.0,60.0,46.15,27.0,20.77,24.0,18.46,141.0,17.0,15.0,17.0,17.0,18.0,12.77,20.933977455716587,22.705314009661837
110,Frontier High,Kern High,Kern,576.0,192.0,154.0,80.21,124.0,64.58,118.0,61.46,50.0,25.0,23.0,24.0,22.0,38.0,76.0,33.33333333333333,8.680555555555555
111,Classical Academy High,Escondido Union High,San Diego,298.0,93.0,81.0,87.1,69.0,74.19,67.0,72.04,69.0,27.0,27.0,27.0,26.0,62.0,89.86,31.20805369127517,23.154362416107382
113,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131.0,121.0,39.0,32.23,31.0,25.62,26.0,21.49,164.0,16.0,14.0,17.0,16.0,18.0,10.98,92.36641221374046,125.1908396946565
114,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,95.0,39.0,41.05,38.0,40.0,28.0,29.47,80.0,16.0,16.0,18.0,17.0,14.0,17.5,94.05940594059405,79.20792079207921
116,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148.0,116.0,33.0,28.45,31.0,26.72,22.0,18.97,58.0,17.0,15.0,18.0,17.0,10.0,17.24,78.37837837837837,39.189189189189186
117,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,44.0,25.0,56.82,11.0,25.0,11.0,25.0,21.0,19.0,18.0,18.0,17.0,8.0,38.1,34.375,16.40625
118,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130.0,126.0,54.0,42.86,23.0,18.25,22.0,17.46,148.0,15.0,14.0,16.0,16.0,16.0,10.81,96.92307692307692,113.84615384615384
119,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,139.0,84.0,60.43,52.0,37.41,49.0,35.25,157.0,19.0,18.0,19.0,19.0,48.0,30.57,98.58156028368793,111.34751773049645
120,Early College High,Newport-Mesa Unified,Orange,50.0,15.0,12.0,80.0,8.0,53.33,8.0,53.33,38.0,24.0,24.0,23.0,23.0,24.0,63.16,30.0,76.0
122,Olympian High,Sweetwater Union High,San Diego,631.0,319.0,284.0,89.03,227.0,71.16,221.0,69.28,98.0,23.0,22.0,22.0,22.0,62.0,63.27,50.55467511885895,15.530903328050712
124,SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,86.0,66.0,58.0,87.88,44.0,66.67,42.0,63.64,34.0,23.0,22.0,22.0,21.0,21.0,61.76,76.74418604651163,39.53488372093023
126,East Valley Senior High,Los Angeles Unified,Los Angeles,141.0,82.0,20.0,24.39,8.0,9.76,7.0,8.54,15.0,16.0,15.0,16.0,17.0,1.0,6.67,58.156028368794324,10.638297872340425
129,Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118.0,61.0,29.0,47.54,13.0,21.31,10.0,16.39,133.0,16.0,16.0,17.0,17.0,15.0,11.28,51.69491525423729,112.71186440677967
131,Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,155.0,111.0,94.0,84.68,74.0,66.67,71.0,63.96,17.0,25.0,23.0,23.0,22.0,13.0,76.47,71.61290322580646,10.967741935483872
132,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117.0,62.0,39.0,62.9,22.0,35.48,21.0,33.87,45.0,18.0,17.0,17.0,19.0,11.0,24.44,52.991452991452995,38.46153846153847
135,Summit Preparatory Charter High,Sequoia Union High,San Mateo,95.0,47.0,26.0,55.32,18.0,38.3,15.0,31.91,43.0,21.0,21.0,20.0,22.0,18.0,41.86,49.473684210526315,45.26315789473684
138,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766.0,270.0,262.0,97.04,248.0,91.85,244.0,90.37,294.0,30.0,30.0,30.0,29.0,281.0,95.58,35.24804177545692,38.38120104438642
139,Tahquitz High,Hemet Unified,Riverside,386.0,282.0,127.0,45.04,58.0,20.57,53.0,18.79,28.0,19.0,17.0,18.0,19.0,7.0,25.0,73.05699481865285,7.253886010362693
140,Heritage High,Perris Union High,Riverside,610.0,229.0,145.0,63.32,57.0,24.89,56.0,24.45,150.0,19.0,18.0,18.0,19.0,44.0,29.33,37.540983606557376,24.59016393442623
141,San Juan Hills High,Capistrano Unified,Orange,580.0,204.0,184.0,90.2,142.0,69.61,139.0,68.14,199.0,26.0,26.0,25.0,25.0,158.0,79.4,35.172413793103445,34.310344827586206
142,University Preparatory Academy Charter,Santa Clara County Office of Education,Santa Clara,99.0,51.0,48.0,94.12,38.0,74.51,37.0,72.55,33.0,27.0,28.0,27.0,27.0,27.0,81.82,51.515151515151516,33.33333333333333
144,Clovis North High,Clovis Unified,Fresno,576.0,244.0,233.0,95.49,199.0,81.56,196.0,80.33,124.0,27.0,27.0,27.0,27.0,111.0,89.52,42.36111111111111,21.52777777777778
145,Vista del Lago High,Folsom-Cordova Unified,Sacramento,441.0,159.0,148.0,93.08,133.0,83.65,130.0,81.76,107.0,26.0,27.0,26.0,26.0,93.0,86.92,36.054421768707485,24.263038548752835
146,Riverside Preparatory,Oro Grande,San Bernardino,117.0,46.0,29.0,63.04,15.0,32.61,13.0,28.26,17.0,18.0,18.0,17.0,19.0,5.0,29.41,39.31623931623932,14.529914529914532
147,Lincoln High,San Diego Unified,San Diego,364.0,157.0,66.0,42.04,25.0,15.92,22.0,14.01,81.0,18.0,17.0,18.0,18.0,13.0,16.05,43.13186813186813,22.252747252747252
148,Patriot High,Jurupa Unified,Riverside,539.0,201.0,132.0,65.67,80.0,39.8,76.0,37.81,37.0,22.0,20.0,21.0,20.0,15.0,40.54,37.291280148423006,6.8645640074211505
149,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144.0,65.0,44.0,67.69,31.0,47.69,27.0,41.54,108.0,21.0,21.0,22.0,21.0,58.0,53.7,45.13888888888889,75.0
151,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83.0,77.0,39.0,50.65,23.0,29.87,20.0,25.97,20.0,20.0,19.0,20.0,19.0,10.0,50.0,92.7710843373494,24.096385542168676
155,University High,Fresno Unified,Fresno,120.0,76.0,76.0,100.0,67.0,88.16,67.0,88.16,86.0,28.0,28.0,25.0,26.0,79.0,91.86,63.33333333333333,71.66666666666667
156,High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,91.0,59.0,64.84,20.0,21.98,19.0,20.88,16.0,22.0,19.0,19.0,19.0,6.0,37.5,61.904761904761905,10.884353741496598
157,High Tech High North County,SBC - High Tech High,San Diego,95.0,58.0,42.0,72.41,25.0,43.1,24.0,41.38,24.0,23.0,22.0,20.0,22.0,13.0,54.17,61.05263157894737,25.263157894736842
158,Hector G. Godinez,Santa Ana Unified,Orange,627.0,582.0,258.0,44.33,219.0,37.63,179.0,30.76,72.0,21.0,18.0,20.0,20.0,33.0,45.83,92.82296650717703,11.483253588516746
160,Oakland Charter High,Oakland Unified,Alameda,110.0,67.0,55.0,82.09,42.0,62.69,40.0,59.7,18.0,23.0,22.0,25.0,22.0,11.0,61.11,60.909090909090914,16.363636363636363
167,Lifeline Education Charter,Compton Unified,Los Angeles,59.0,21.0,4.0,19.05,1.0,4.76,1.0,4.76,36.0,16.0,14.0,16.0,15.0,4.0,11.11,35.59322033898305,61.016949152542374
168,Mission Oak High,Tulare Joint Union High,Tulare,368.0,134.0,71.0,52.99,47.0,35.07,38.0,28.36,18.0,21.0,21.0,21.0,21.0,6.0,33.33,36.41304347826087,4.891304347826087
169,Lathrop High,Manteca Unified,San Joaquin,321.0,124.0,87.0,70.16,37.0,29.84,34.0,27.42,32.0,21.0,21.0,21.0,21.0,17.0,53.13,38.62928348909657,9.968847352024921
170,Robert F. Kennedy High,Delano Joint Union High,Kern,304.0,113.0,61.0,53.98,40.0,35.4,34.0,30.09,54.0,20.0,18.0,20.0,20.0,21.0,38.89,37.17105263157895,17.763157894736842
171,Independence High,Kern High,Kern,511.0,166.0,110.0,66.27,55.0,33.13,50.0,30.12,41.0,20.0,20.0,19.0,20.0,15.0,36.59,32.4853228962818,8.023483365949119
173,Orcutt Academy Charter,Orcutt Union Elementary,Santa Barbara,145.0,56.0,52.0,92.86,44.0,78.57,43.0,76.79,49.0,25.0,26.0,25.0,25.0,40.0,81.63,38.62068965517241,33.793103448275865
174,Antelope High,Roseville Joint Union High,Placer,442.0,193.0,151.0,78.24,103.0,53.37,96.0,49.74,92.0,23.0,22.0,22.0,22.0,61.0,66.3,43.665158371040725,20.81447963800905
175,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73.0,16.0,6.0,37.5,2.0,12.5,1.0,6.25,86.0,15.0,13.0,16.0,16.0,7.0,8.14,21.91780821917808,117.8082191780822
176,Harmony Magnet Academy,Porterville Unified,Tulare,109.0,75.0,55.0,73.33,39.0,52.0,36.0,48.0,38.0,22.0,21.0,22.0,22.0,21.0,55.26,68.80733944954129,34.862385321100916
177,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113.0,42.0,30.0,71.43,5.0,11.9,5.0,11.9,37.0,20.0,18.0,17.0,17.0,10.0,27.03,37.16814159292036,32.743362831858406
179,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,46.0,36.0,78.26,27.0,58.7,26.0,56.52,100.0,20.0,20.0,20.0,20.0,40.0,40.0,41.07142857142857,89.28571428571429
180,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580.0,285.0,250.0,87.72,198.0,69.47,191.0,67.02,143.0,24.0,23.0,23.0,23.0,100.0,69.93,49.137931034482754,24.655172413793103
182,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,97.0,44.0,45.36,22.0,22.68,20.0,20.62,20.0,18.0,17.0,18.0,19.0,7.0,35.0,41.63090128755365,8.583690987124463
183,Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,43.0,13.0,30.23,5.0,11.63,4.0,9.3,34.0,15.0,14.0,16.0,15.0,4.0,11.76,34.67741935483871,27.419354838709676
184,APEX Academy,Los Angeles Unified,Los Angeles,82.0,46.0,7.0,15.22,1.0,2.17,1.0,2.17,30.0,15.0,13.0,15.0,15.0,0.0,0.0,56.09756097560976,36.58536585365854
185,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143.0,56.0,41.0,73.21,25.0,44.64,25.0,44.64,19.0,23.0,21.0,21.0,21.0,10.0,52.63,39.16083916083916,13.286713286713287
187,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,85.0,20.0,23.53,6.0,7.06,5.0,5.88,143.0,15.0,13.0,15.0,15.0,4.0,2.8,80.95238095238095,136.1904761904762
188,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,111.0,62.0,55.86,37.0,33.33,31.0,27.93,155.0,18.0,18.0,18.0,18.0,40.0,25.81,86.71875,121.09375
190,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,63.0,12.0,19.05,3.0,4.76,3.0,4.76,58.0,14.0,13.0,16.0,15.0,3.0,5.17,75.0,69.04761904761905
191,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108.0,48.0,21.0,43.75,10.0,20.83,10.0,20.83,17.0,22.0,22.0,18.0,20.0,10.0,58.82,44.44444444444444,15.74074074074074
195,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,29.0,12.0,41.38,11.0,37.93,8.0,27.59,151.0,18.0,17.0,17.0,17.0,31.0,20.53,44.61538461538462,232.30769230769232
196,Christopher High,Gilroy Unified,Santa Clara,397.0,154.0,115.0,74.68,80.0,51.95,75.0,48.7,100.0,23.0,22.0,23.0,22.0,63.0,63.0,38.79093198992443,25.188916876574307
197,Mission Vista High,Vista Unified,San Diego,391.0,182.0,155.0,85.16,130.0,71.43,124.0,68.13,92.0,27.0,25.0,25.0,24.0,79.0,85.87,46.547314578005114,23.52941176470588
198,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,68.0,36.0,52.94,16.0,23.53,16.0,23.53,94.0,17.0,16.0,17.0,17.0,17.0,18.09,81.92771084337349,113.25301204819279
